unique_id,ds,y,IR,IY,IB,VRY,VYB,VBR,hour,day
,2026-11-05 03:15:00,2.04,118.0,110.0,114.0,11.0,10.9,11.0,3,3
,2026-11-05 03:15:00,287.0,14.5,15.5,14.1,11.2,11.2,11.2,3,3
,2026-11-05 03:15:00,1.34,73.2,73.4,70.1,11.0,10.9,11.0,3,3
,2026-11-05 03:15:00,1.26,67.0,64.5,69.1,11.0,11.0,11.1,3,3
,2026-11-05 03:15:00,1.52,73.8,75.1,74.8,11.0,11.0,11.0,3,3
,2026-11-05 03:18:00,1.46,73.8,75.1,74.8,11.0,11.0,11.0,3,3
,2026-11-05 03:18:00,1.24,66.0,63.7,69.2,11.0,10.9,11.0,3,3
,2026-11-05 03:18:00,1.33,71.7,74.0,70.6,10.9,10.9,10.9,3,3
,2026-11-05 03:18:00,273.0,14.5,15.5,14.1,11.1,11.2,11.2,3,3
,2026-11-05 03:18:00,2.02,118.0,109.0,117.0,11.0,10.9,10.9,3,3
,2026-11-05 03:21:00,1.39,73.4,74.0,72.2,11.0,10.9,11.0,3,3
,2026-11-05 03:21:00,278.0,14.7,15.5,14.3,11.2,11.2,11.2,3,3
,2026-11-05 03:21:00,1.55,79.4,81.5,81.0,11.0,11.0,11.0,3,3
,2026-11-05 03:21:00,1.25,66.2,64.0,69.0,11.1,11.0,11.1,3,3
,2026-11-05 03:21:00,2.02,119.0,111.0,119.0,11.0,10.9,11.0,3,3
,2026-11-05 03:24:00,1.24,65.7,62.6,67.4,11.1,11.0,11.1,3,3
,2026-11-05 03:24:00,1.33,70.8,71.3,68.0,11.0,10.9,11.0,3,3
,2026-11-05 03:24:00,2.02,122.0,115.0,120.0,11.0,10.9,11.0,3,3
,2026-11-05 03:24:00,280.0,14.8,15.5,14.4,11.2,11.2,11.2,3,3
,2026-11-05 03:24:00,1.61,84.4,86.3,84.7,11.0,11.0,11.0,3,3
,2026-11-05 03:27:00,1.3,70.0,70.7,68.1,11.0,10.9,11.0,3,3
,2026-11-05 03:27:00,1.24,65.6,63.3,67.4,11.1,11.0,11.1,3,3
,2026-11-05 03:27:00,1.49,84.4,86.3,84.7,11.0,11.0,11.0,3,3
,2026-11-05 03:27:00,2.01,122.0,116.0,119.0,11.0,11.0,11.0,3,3
,2026-11-05 03:27:00,265.0,14.8,15.5,14.4,11.2,11.2,11.2,3,3
,2026-11-05 03:30:00,264.0,14.4,15.4,14.4,11.2,11.2,11.2,3,3
,2026-11-05 03:30:00,2.0,121.0,114.0,121.0,11.0,11.0,11.0,3,3
,2026-11-05 03:30:00,1.25,66.1,63.6,67.8,11.1,11.0,11.1,3,3
,2026-11-05 03:30:00,1.45,79.0,78.5,78.0,11.0,11.0,11.0,3,3
,2026-11-05 03:30:00,1.35,70.0,70.1,68.7,11.0,10.9,11.0,3,3
,2026-11-05 03:33:00,1.53,79.0,78.5,78.0,11.0,11.0,11.0,3,3
,2026-11-05 03:33:00,272.0,14.4,15.4,14.4,11.2,11.2,11.2,3,3
,2026-11-05 03:33:00,2.0,120.0,113.0,117.0,11.0,10.9,11.0,3,3
,2026-11-05 03:33:00,1.36,72.1,72.9,70.1,11.0,10.9,11.0,3,3
,2026-11-05 03:33:00,1.25,66.4,64.2,68.2,11.1,11.0,11.1,3,3
,2026-11-05 03:36:00,1.24,66.1,63.5,68.3,11.1,11.0,11.1,3,3
,2026-11-05 03:36:00,1.5,73.6,75.8,75.3,11.0,11.0,11.0,3,3
,2026-11-05 03:36:00,1.32,72.0,70.2,67.8,11.0,10.9,11.0,3,3
,2026-11-05 03:36:00,272.0,14.4,15.3,14.0,11.2,11.2,11.2,3,3
,2026-11-05 03:36:00,1.98,123.0,115.0,120.0,11.0,11.0,11.0,3,3
,2026-11-05 03:39:00,1.33,70.5,71.4,67.9,11.0,11.0,11.0,3,3
,2026-11-05 03:39:00,1.42,72.8,76.0,74.8,11.0,11.0,11.0,3,3
,2026-11-05 03:39:00,2.01,122.0,114.0,119.0,11.0,10.9,11.0,3,3
,2026-11-05 03:39:00,269.0,14.5,15.2,14.1,11.2,11.2,11.2,3,3
,2026-11-05 03:39:00,1.23,64.7,63.4,68.0,11.1,11.0,11.1,3,3
,2026-11-05 03:42:00,1.23,64.9,62.9,68.0,11.1,11.1,11.1,3,3
,2026-11-05 03:42:00,2.0,120.0,111.0,118.0,11.0,11.0,11.0,3,3
,2026-11-05 03:42:00,1.51,72.8,76.0,74.8,11.0,11.0,11.0,3,3
,2026-11-05 03:42:00,269.0,14.5,15.2,14.1,11.2,11.2,11.2,3,3
,2026-11-05 03:42:00,1.32,71.0,70.9,68.0,11.0,10.9,11.0,3,3
,2026-11-05 03:45:00,2.01,120.0,111.0,119.0,11.0,10.9,11.0,3,3
,2026-11-05 03:45:00,1.47,82.1,85.5,83.8,11.0,11.0,11.0,3,3
,2026-11-05 03:45:00,1.35,72.1,71.6,69.4,11.0,10.9,11.0,3,3
,2026-11-05 03:45:00,283.0,14.3,14.8,13.8,11.2,11.2,11.2,3,3
,2026-11-05 03:45:00,1.23,64.4,62.7,67.8,11.1,11.0,11.1,3,3
,2026-11-05 03:48:00,1.62,82.1,85.5,83.8,11.0,11.0,11.0,3,3
,2026-11-05 03:48:00,1.33,71.0,70.8,68.1,11.0,11.0,11.0,3,3
,2026-11-05 03:48:00,271.0,14.3,14.8,13.8,11.2,11.2,11.2,3,3
,2026-11-05 03:48:00,1.24,64.1,62.9,67.9,11.1,11.0,11.1,3,3
,2026-11-05 03:48:00,2.02,120.0,110.0,117.0,11.0,11.0,11.0,3,3
,2026-11-05 03:51:00,2.0,121.0,112.0,120.0,11.0,11.0,11.0,3,3
,2026-11-05 03:51:00,1.47,79.5,81.3,79.4,11.0,11.0,11.0,3,3
,2026-11-05 03:51:00,1.32,69.9,71.0,67.3,11.0,11.0,11.0,3,3
,2026-11-05 03:51:00,284.0,14.1,14.8,13.8,11.2,11.2,11.2,3,3
,2026-11-05 03:51:00,1.21,62.7,61.0,66.9,11.1,11.1,11.1,3,3
,2026-11-05 03:54:00,1.61,77.1,78.8,77.8,11.1,11.1,11.0,3,3
,2026-11-05 03:54:00,1.22,64.1,62.0,67.0,11.1,11.1,11.1,3,3
,2026-11-05 03:54:00,1.29,68.9,69.6,66.5,11.0,11.0,11.0,3,3
,2026-11-05 03:54:00,2.0,121.0,113.0,120.0,11.0,11.0,11.0,3,3
,2026-11-05 03:54:00,280.0,15.0,15.9,14.5,11.2,11.2,11.3,3,3
,2026-11-05 03:57:00,1.98,119.0,111.0,119.0,11.0,11.0,11.0,3,3
,2026-11-05 03:57:00,1.22,64.2,62.2,67.8,11.1,11.1,11.1,3,3
,2026-11-05 03:57:00,299.0,15.0,15.9,14.5,11.2,11.2,11.2,3,3
,2026-11-05 03:57:00,1.3,69.6,69.7,66.7,11.0,11.0,11.0,3,3
,2026-11-05 03:57:00,1.64,77.1,78.8,77.8,11.0,11.0,11.0,3,3
,2026-11-05 04:00:00,2.0,121.0,115.0,122.0,11.0,11.0,11.0,4,3
,2026-11-05 04:00:00,1.22,64.1,61.6,66.7,11.1,11.1,11.1,4,3
,2026-11-05 04:00:00,282.0,15.1,16.3,14.6,11.2,11.2,11.3,4,3
,2026-11-05 04:00:00,1.27,67.6,67.3,64.1,11.0,11.0,11.0,4,3
,2026-11-05 04:00:00,1.58,83.8,86.4,86.5,11.1,11.1,11.0,4,3
,2026-11-05 04:03:00,279.0,15.1,16.3,14.6,11.2,11.2,11.2,4,3
,2026-11-05 04:03:00,1.2,63.2,61.5,65.8,11.1,11.1,11.1,4,3
,2026-11-05 04:03:00,2.0,120.0,116.0,122.0,11.0,11.0,11.0,4,3
,2026-11-05 04:03:00,1.28,69.8,69.7,64.9,11.0,11.0,11.0,4,3
